,Id,Apellido,Nombre,Propio,Padre,Madre,PIngFam,IngFam,Hijos,Exitable,Extravagante,Pesimista,Timido,Sentimental,Dependiente,Responsable,Capaz,Sociable,Servicial,Etico,Conciente,Espiritual,Impulsivo,Desordenado,Temeroso,Vago,Apego,Empatia,Compasivo,VxH
14,14,WWXSV,UCPKG,S,S,S,285712854,2331181085,0,764024369,981460985,941129969,38379861,8321296,16113598,172039876,842538026,15807296,397485854,88089097,445286965,31349381,534161461,317620829,139376,522948641,723596987,870560827,8959378,885866947
15,15,QYWQQ,WVMSJ,U,S,P,767773149,4537943359,3,744567104,539831345,941146123,202777318,22778856,396722044,234168624,111412716,649823217,58969438,593655362,991096101,53589283,383300673,588371993,735639436,84259689,461163567,814926915,448402425,454948512
16,16,WVHVK,YGWRT,P,S,S,456138501,7275737152,0,641923811,941574232,85452376,942764647,579079185,98033022,149290067,640340263,633133386,625679215,811434686,499401806,624636322,577133273,535888698,469575455,305680328,18033193,806666199,255776866,449573741
17,17,KJWNI,FRTUJ,S,P,S,82014858,1275787037,0,437884113,175151761,398630627,139292265,851138942,15259797,864420376,340942921,69188793,805340181,874324235,530226762,151377692,702587941,357289131,348132768,54921204,656260319,878423565,94075488,896843194
18,18,POGDW,XAHKJ,S,P,P,886301544,8989007565,0,503356363,41196962,233169555,480055076,39604584,610632721,71766606,808355272,901747979,375461923,316139156,200761587,938092356,358511077,691105508,710796247,819537934,724728198,568487101,944472781,408992444
19,19,NMSDR,PPKTT,S,P,S,864016285,2011094271,0,996079052,232102659,337581201,535042077,588588507,620857294,551195756,554772971,945022359,48928996,598400723,906180547,232220483,199595646,43158733,2219489,479127489,929575009,372204091,833890345,541749884
20,20,BSARE,UUPER,P,P,S,736179928,4159225547,0,934369591,252746102,20259943,850297382,581721646,275271838,288061498,336488252,990926823,463962853,528796115,182287935,643976538,893559251,883117551,13608337,711637406,491040719,9558124,83030193,544292799
21,21,HTEOP,SNHXV,S,P,P,912324841,3759173917,0,680758737,834595819,178803075,913480519,47969979,203412472,430805582,744531735,40694922,138179342,947692932,731128731,746858333,71242736,661224746,347209974,190460004,156474396,828045833,591155234,347686752
22,22,OVHPE,ODFSG,S,P,U,766670209,2479874575,1,239159312,437897116,827822232,654398844,397353474,408119004,243775476,225680162,74602055,555638066,209566355,390304559,179589085,475683648,203766711,560391862,859501646,751588943,396432139,48194759,770443558
23,23,YUGBP,FOOEL,P,S,S,902098606,479710026,0,523289314,283674766,903966791,147813285,808219754,963899644,494074388,336582269,767851126,786233187,180206133,34914856,748800611,410317251,564901222,684341362,427541691,13736677,600919154,327860062,487468269
24,24,KQHYX,PFBHU,S,S,P,127604351,3168807901,0,384853958,427281588,978982359,482445754,985537114,997521072,457543137,879906721,330053958,971291213,483477093,819834213,977411465,814478495,772261125,361666892,968756902,658915235,524695728,99319903,524586689
25,25,PKRVW,BSFME,U,U,P,363037386,1071776457,3,898011882,428600716,517458701,587390312,286627356,960891993,73718911,167776953,554428139,557711613,689971516,969331276,711462364,997048156,365868186,930493726,701437961,397838062,43116789,136986314,844064955
26,26,TLQRT,VGAHD,P,P,P,252463372,1098548316,0,65860492,221899125,974098528,320501848,82210679,50740968,163881834,8259294,69773884,910273267,959234911,642807357,620843339,474558428,500798101,92801813,10118517,710698878,494514799,279726405,331664602
27,27,IHQYW,QVVDE,P,P,S,39687016,4917604655,2,690016374,61949171,389613414,107671415,18000634,206042859,184815614,743144591,825857013,848023061,8690773,96589927,651465379,532099582,960266541,320687616,750408517,342009279,373086054,23090385,728624267
28,28,NJNPN,TLEKK,P,P,P,305682176,3140709475,0,521290813,917376116,654562216,335854032,167691638,532849842,754561316,208831207,166748777,746846499,604786443,670432961,205487268,100187388,429733673,630853162,638245165,856900007,571403846,63908279,521824599
29,29,QKBYX,AWFVF,U,P,S,243378094,2261490052,0,859587915,540154241,53434736,812534378,157005915,967286359,135048707,861361677,487889117,857834757,845644062,528234088,839413927,208033095,292245429,253252746,82599199,901701803,85585403,77869711,442170823
30,30,XHUMD,RMXXS,P,U,P,606462979,4444526225,0,624802971,654426121,61491428,71966804,776342343,678655441,20410226,339228797,106786266,840777925,953539006,814081466,67425436,74293951,347490495,693541865,914641862,578563798,132724901,558822366,717486221
31,31,DUDAD,TXASE,S,P,P,79334462,4477668039,1,149522001,820152289,445376972,216444637,588028102,324400773,753459327,339962943,80473701,612990191,71503993,92978777,923807748,469067441,315414114,715268702,209527276,460178969,501956549,703160268,667237525
32,32,SQQEA,QJCGY,P,P,P,159032566,1956341824,0,86915344,900645446,83755983,410864171,208355891,61909685,976662936,615840777,795590177,802075315,192576407,726812532,858199401,670624448,191181251,13659085,904013455,352781485,2369243,338935126,634558018
33,33,USBUD,AKMVW,S,P,S,603742984,1472265083,0,372664713,99736603,921322114,377983031,456659684,99952484,242711296,756496541,191726916,814222724,180879631,160079844,194930784,436529359,23903974,462256065,397993669,508311309,517646675,118210696,703683914
34,34,UJMNG,SJYGW,S,P,S,205049057,8644445141,1,484485211,256459515,864523969,403906206,410094656,701604066,446925837,171673373,746967245,896811312,484135227,505987601,34829497,356359931,677598383,83380112,770811953,728984112,289647029,220097177,755370538
35,35,LPFCW,DVGGD,P,P,S,711129849,1209266317,2,508001249,38230202,921029324,317405481,528940319,728527569,887666105,137097984,62047319,476208412,145433172,911150664,314059855,6003736,112339543,713636809,276377277,900558465,278464795,218231724,763890271
36,36,MOXKQ,PPPJD,S,P,P,302799919,4007503203,3,679967233,390445519,455012038,483938545,874242704,467431218,31777875,74497924,400656497,290891648,436281095,482651161,415561608,29903487,959159152,450790542,299538947,329703718,616575105,147975992,906733392
37,37,SUISY,IXISI,S,S,P,853836356,4416219388,1,942328549,952725645,68703925,383586448,257942782,88822959,10146524,405010312,45777116,785144085,23461432,743629628,802008994,27351539,115288695,463409367,82321653,924151401,208860542,956879235,811200568
38,38,PNHXT,UFXSF,S,P,U,622795935,2316506571,0,57206091,71982993,481664902,698381365,235331365,740402688,657452087,664292174,594357569,612995886,148642779,50559091,451171701,934487318,730257085,37435096,445804848,915754074,965262683,928569604,593755225
39,39,RFGSK,FVWHF,P,P,S,193509068,276834422,0,352956831,181385474,717087686,26596612,331348864,497743615,337555302,962327284,739683218,639366973,117766032,591885458,40390991,330896762,291655543,802986756,480981062,98279232,614925332,76171576,723247351
40,40,JJGXA,CCLDI,U,S,P,782988926,234179928,2,445013466,691545285,95810878,605708123,354660656,488661003,812900588,576988505,78480665,280629964,341654787,826694621,49693615,783983548,733959401,306305529,819225491,738015627,485197697,735069283,477897591
41,41,TCEDQ,LMSQH,P,P,S,430396753,4446916707,4,997169023,639039916,109140062,79240993,861746782,365306857,79225576,146421483,483451654,343899774,899765004,287916878,316434269,82297858,808777549,588858718,566317829,30305531,284485286,77200943,726814215
42,42,WPBBD,NTOXP,P,P,P,445152535,2296319916,0,928697763,757962554,365324859,30019112,38781218,7939082,753530483,502415959,391045644,952709873,16477183,424112098,389042071,15901878,663225295,442083613,323091699,617401549,59613899,917548327,748515159
43,43,INEKK,VEFKT,S,S,S,250117075,1070915924,0,916313969,104778524,160715033,301391464,689139959,235690142,78854007,32968715,640438838,105418558,86961629,282992397,80012638,311044695,150343743,11988951,284320924,160507594,877101118,649474828,912165271
44,44,XYTYU,MHGMS,P,U,P,239153435,176502593,0,883236429,790729174,372211015,535633823,126674805,495318027,417401673,656368087,987765798,305715148,623142035,864523616,892588076,845944957,3048233,301779401,684730999,10746343,82362342,63503767,550392894
45,45,DUDWW,XHHLQ,P,S,S,796326182,4091892409,0,418837198,380116432,21360795,59690422,8278449,565125192,99530336,80151679,44761565,753999646,953003983,259129125,38909179,792045457,501646917,487109218,64018587,298021243,66945871,611428607,436862257
46,46,CBOCV,YGYNH,P,S,S,222367168,2541126736,0,811823115,99388723,694487938,408598434,588496358,657863267,47858967,331325391,75575628,302420734,700292363,241197704,90288901,15542422,303785109,669784322,977103461,756544897,704553984,871775746,176048944
47,47,BFPVE,LAISN,U,S,S,212589176,349241063,4,18783856,53625095,712359696,423889396,559580994,93369715,220074816,617090588,519308703,326719521,349747797,791787486,580493369,697806437,812427159,50335618,993440401,579703412,823769181,808323818,61004952
48,48,YUQTD,JRJCL,U,S,S,861012535,280241519,4,758890488,35528489,34344784,267436305,476450691,342192076,354591802,89096185,98548624,394938423,454270534,753197672,896981401,718844937,128996512,744736736,2087379,451180961,900388817,992082118,648907888
49,49,NUJYK,ONCQT,S,P,P,115539291,2857665253,0,971645118,215706124,987529877,8346508,886788711,319788091,411981293,560178601,850333891,127496679,93094959,380504061,810635162,82332984,866012556,930089168,24671993,70488939,544628889,233293568,427841905
50,50,CFDRU,PGKEG,S,P,P,901680901,3819812905,0,222387269,588101735,152412593,543728483,242559672,613140057,683750011,37923276,920015075,318330299,46095327,545305774,44717083,498570886,201785867,113585015,661144905,543300149,438493257,138604597,677784066
51,51,OLDUT,PWIRA,S,S,U,439616924,3721425199,0,813341271,60341439,748471876,617814535,837596176,805548479,231628038,240031517,310772189,402764719,68931329,521414584,264287448,845452145,16123666,919337563,523914927,301337883,528096639,536899821,346281277
52,52,VQIJW,KKYUY,P,U,P,611677276,1436891878,0,154924188,11054905,19364806,20526047,565347184,89099449,781193685,537216534,578130686,248715356,228906493,311412795,374465678,515070119,296333831,672790639,499541731,538607407,453194492,154339023,917652141
53,53,BXNTW,BDFDA,S,S,P,940476929,3731051784,0,159479099,874655273,122661387,193222205,697256576,693103682,881343296,710318807,524218274,15735072,529123163,246907712,74331312,317646795,321974252,398594817,777184562,26863432,580275249,400904645,453348428
54,54,RIECD,UVGDC,U,P,P,139403264,3226245041,1,872015895,941773578,116685494,290035343,450879333,62488998,45405012,441804164,2880807,168171776,842873627,610507118,807627137,630898442,664790389,441249439,759183296,276390954,138055921,335480539,512816823
55,55,OSKMT,KOORH,S,P,S,51024375,3312999635,0,774755153,871201058,701071804,76743472,713926097,522840795,758257369,751890274,781004535,98416669,309850285,979936487,4300647,27017277,577813661,319649044,646256913,735942757,36552617,292671024,639219508
56,56,DUFEP,QXYGC,P,S,U,621057463,4529305222,2,962542723,599206994,136821619,116889238,774267644,328743035,10842012,523947681,591882033,39885842,24761754,93584677,612373728,255113055,670488864,550292019,197899278,849544603,991919983,491835406,756894905
57,57,DIVCX,RTUOY,P,S,S,53141606,1466075579,1,965356125,881306941,593007904,872940129,899576919,142708243,531158896,590140478,12110797,253565358,89174737,261949161,666454958,947488485,662819933,218360968,336734339,664880967,957263814,530285921,542315554
58,58,QJOEN,DEKPP,P,P,P,165769796,4923852763,1,717091513,868503179,47178655,237928354,637999352,473183388,786120318,63070865,985241637,451766215,553178546,967766381,55405532,74402282,119867152,723335598,188953459,45366297,984508034,892526958,624889361
59,59,GOWXG,DKJYH,P,P,S,886873485,7575774636,3,476358446,91512756,878665367,229067298,186598396,518747152,92466916,793037917,112285757,268860795,240551369,627441237,399199905,928402548,753150388,744152993,806300969,170195987,899259631,129894296,578759643
60,60,QNYWH,WCSCD,P,S,P,538755076,3895150793,1,949539619,305699906,948468536,507724633,201202012,704500995,216283221,717960543,908395471,661246682,651833584,14460033,743864022,42396875,157278931,238598347,126598418,642345326,496744538,100864977,649625738
61,61,WYPYS,GQMLH,P,P,P,847556087,7714861415,1,930926599,976815175,13128592,217866521,405653576,770897439,662134548,115605926,779341471,189969036,777025143,489603285,185279547,875901932,982436473,512150392,147170452,67376876,54879631,388186133,698645483
62,62,OMKYN,NAJII,P,S,P,483204488,3003598342,1,711512042,670346315,243895905,170532581,322812762,591713305,355656761,753999529,755841624,828811726,338387244,299945345,745687615,358949719,63162181,626595457,149427728,869455492,41440145,505825058,782613851
63,63,VPBHY,MNFYI,S,S,U,815169206,3343732896,2,495317952,307943103,576003006,64699805,928231711,275878992,651264082,591434228,667544102,565321227,8129396,903084152,783493767,162182368,153149264,11816631,311843262,503701726,604492956,547685194,982482669
64,64,VSMGV,RSCUB,P,P,S,170100367,2174195447,0,519709384,763658501,504042562,422728984,933225831,528512137,231788025,949075304,594551009,218366782,26017664,19999982,305031318,992332685,974596837,39796695,33261465,778457936,828519308,1368293,597673682
65,65,MRLVT,IXELM,P,S,P,69303963,1536294469,0,529557549,620436724,285172142,868267125,363777706,721507275,204046097,141767919,99545082,564482877,379865196,530900334,238775653,975582848,497856926,514009487,84920622,775119898,727931615,831821168,277525577
66,66,LTLMO,CXLCW,P,P,P,309188841,4461071055,0,715856207,370413753,332169813,724008842,46055711,662084464,571792991,10001438,57481608,739038893,52644919,834382264,926599905,145574221,438564438,954922227,24891534,738519613,211094455,351860649,533513181
67,67,NALAK,YJSYR,U,P,S,127238017,2594911347,0,759572713,42524327,639693835,287766328,482016396,809304151,993929173,100898891,429765882,317616492,315528013,687492574,815495653,414931877,512740935,291370657,298766598,110013761,879603811,508691111,499022407
68,68,HUIXM,XACCW,P,S,P,214942536,4507111017,3,543103144,920328199,938170385,457619198,14042481,507796886,749722368,79244858,47221861,216213276,34670971,996845964,709458394,503949528,968434712,628372264,616597511,474017554,924648593,209833955,764793902
69,69,HUTVT,PEKPD,S,P,S,706846386,4915643161,2,550757341,357535478,465469218,576899393,126437208,518651747,282238487,557652756,855876942,354140874,7002831,342684612,834104719,49056043,229533863,954007017,832002598,949445577,908561431,942360845,627236797
70,70,CUPFA,NDEJX,P,P,S,807569889,1480481234,0,278152278,40015824,949805861,117382636,567056129,914889421,266621288,661310823,450024186,309449851,222043003,156199209,917223346,960642532,789682713,612642733,875082672,845688878,409630508,747597111,486022259
71,71,YVDTR,MFVJI,P,S,S,737148541,1387401222,0,58163305,334333861,485146803,495061681,873125788,583006924,495140729,545017505,655932112,456925864,29655339,672014223,775387225,363011,375314081,11368518,985706222,194353758,164198674,970037632,544962781
72,72,OTMLW,JKNPP,P,S,P,27162601,134456192,0,463623377,765402202,514275973,750157295,351146926,46269623,843100724,461615037,936226043,471556223,990275129,311228352,344344502,782869846,121348199,537147213,327239989,489454554,841944657,435584991,499058521
73,73,BIYHU,XGWWF,S,P,S,362527481,8982096229,1,783346336,1410721,305674831,30003681,208271,877685018,882402816,149960576,418098405,961738759,89083798,813888064,308018273,789587429,344681984,183569136,861879877,227816772,30690931,21975307,808103832
74,74,JGTXV,QKCWF,S,P,P,93801663,3883683094,0,30167402,519615274,972014846,298420171,380346611,285845241,452741956,11126048,141691829,578520866,356329552,311087863,83278778,440541042,443214176,980655093,908953932,716216544,178971179,224337242,385942991
75,75,KLLLU,BBTWV,S,S,U,88542738,3015286976,0,776513839,612325918,807880147,40280771,174088217,969215448,342300199,42835522,262368687,713887659,348094314,498950703,914487398,839199145,711172614,3386606,704676281,519765713,42939961,706890403,411627161
76,76,QBMGR,KUDTI,S,S,P,60748062,3847218118,0,9011183,8654899,402572449,876334613,901064305,517247514,277767431,486803906,299602188,987423976,29530596,913990416,738688481,256253672,604167078,6809915,317517149,261855008,359114734,769716212,509148019
77,77,KRRBL,PEOOW,S,S,S,567052739,1756836813,0,455365616,575776711,926808146,665684607,597675737,774196407,799026735,82343108,496308971,377837896,152406674,875996945,419686981,651927113,345484963,216370012,608330356,905137344,270535674,776278915,561234725
78,78,CPMHV,TQNWU,P,P,U,312837871,30259925,1,193622046,348245785,823552218,273164705,949059965,449151042,54515569,17211136,129828513,744524471,128243352,320234957,973936508,320459569,997268472,889309678,684555525,365775691,361580657,140063353,378414894
79,79,ODTDR,ONWGH,S,U,P,870112764,3772101559,1,342822399,4728301,16391738,65182392,908723448,782937515,928168062,363874575,499573346,678092567,407639023,39611697,671800589,591792413,237228364,792810028,445199328,64371394,700629366,5128437,732586758
80,80,JYEUH,DFHVU,U,P,U,514439727,3841504821,0,158716797,809504917,969776843,329261063,329945223,105068412,831773908,865600365,632885295,279182919,71152167,543262567,195277331,326385286,4394128,433049634,946339847,726237583,924050173,174000167,556169822
81,81,KNWTN,EDJWM,P,P,P,811306432,3639468461,0,55182838,403490341,685890882,122960411,23279343,38006106,45264303,973489892,427813825,547105181,579172601,315614863,230452477,58951314,483126729,978044373,4070818,640108661,377253797,77300566,745262528
82,82,WIOPQ,LXJVI,P,S,P,756700279,2266675891,2,507209155,212694236,535692074,311771703,34072643,222183656,880324631,900648281,377541456,986815201,945217446,734310615,408088544,550593479,737136327,160634934,105377945,220324476,631204567,222059227,664726087
83,83,CUMOB,LDSIS,P,U,P,430360115,4808473658,4,607219314,608830979,6600856,734272586,242122654,888503068,383818674,896116309,25309849,563529267,927395059,98457436,430706459,117933902,249962902,443777781,93742909,333148474,18817865,136557934,817883776
84,84,ELJIT,QLWTE,S,S,S,936966235,4296967448,4,63487044,946220471,603567705,849614014,415452755,577360639,522462787,716853683,73959248,7644827,455858789,371588265,31829925,398772372,56132541,60817465,432812,662909039,637229755,78104401,703598642
85,85,HSDTG,SSRMH,P,S,S,565672457,370282933,0,675787287,635537796,521798246,319099795,96452905,816178122,127279214,232656476,947502532,77377106,675078003,567667146,341868243,234216134,848635033,161633218,149653081,425079294,833887925,59963868,44565208
86,86,ARMQL,UVBRT,P,S,U,85867544,4134201997,3,697778946,716748689,898925982,536032711,313821401,747876949,22478606,81762531,393240282,52962959,879438222,144337962,667275598,272798695,830224681,30281323,87393317,957665929,735666094,12004509,683755836
87,87,ORXGB,WONJM,P,S,S,188695624,2405650335,3,75986706,7712317,769299239,666257539,66010023,301393754,431055478,666015958,887805664,329694137,40159123,86724176,534208327,476295764,697619661,30196997,339352732,904464903,887416392,601456355,718071417
88,88,WCTTX,MPTRM,U,P,S,311590253,3361517834,0,626872076,608909023,11467193,8294103,534152652,349218969,180301351,677354831,614437964,960693796,307591982,247022149,983643917,203570003,371087711,388523302,364900715,629819183,72395163,484675041,748719245
89,89,FSTTC,MJEXG,P,U,P,536478484,1354550185,0,830898309,79656835,2321433,991166314,66334444,937293416,491446279,6300824,330915482,747259455,949717025,114263163,526983943,816445882,453858978,532306818,281187581,534799854,445921312,863604523,58167461
90,90,MHFYM,WUIYY,U,S,U,296562712,7415771337,0,318618852,795461939,129267033,168436386,857037868,396922605,883017453,480372412,17034461,326194726,953716595,405213468,744401556,495144823,622379981,866548521,549371544,836809088,204949921,470805984,442999863
91,91,XIDKS,KUQLM,U,P,P,24895985,2851990992,2,776772332,316784068,13171805,585563856,5190344,202386415,358744107,896294555,28789211,884300628,201433361,871626062,409451242,24880684,896926505,436749691,276383494,654059671,837747919,111211441,619903786
92,92,FKYXX,WCLHA,P,S,S,382947015,3085752516,0,956601205,354033124,327251874,212810506,56576242,43673724,292849276,58421169,808614259,447330758,843513224,225436968,469151087,4627835,353935763,141902373,5299262,713304041,429866646,829981965,787705102
93,93,SYONC,GCQBQ,U,S,P,612275783,1449492041,2,98770707,198070583,979916062,115779263,790220034,599937089,794851252,476329043,478756316,874794874,256602417,457954302,590214049,294604197,223790025,3214173,124566682,644912357,739860733,603783814,760996528
94,94,VAPRI,ACUCF,P,S,P,476639226,3417944069,0,654843146,642018164,6662148,435091836,103750524,657272907,37237589,74257322,966109592,166642383,652219265,44051669,12469083,318839225,7518827,481605599,860677949,683574048,63142308,884195997,607274271
95,95,MAEUU,HSBNT,U,P,P,706289413,2001726956,0,399780818,826854967,162495275,570597031,224616671,24862095,909073304,958680317,564316641,600152043,452466823,817682962,256718687,313636221,188867643,639905376,723844461,261704079,225469817,558593905,527638369
96,96,QSFJC,PTJXA,P,P,S,676530407,4007207134,0,827607542,249439515,735926893,806950391,919450757,605130877,603288928,962033952,518096819,741575146,923742369,197115605,240080217,444663591,455512685,959295463,336064031,540487564,481319341,56333794,525170267
97,97,WCMRB,SPTKN,S,P,P,888409744,4345389899,1,267908209,130235202,705663722,381679373,683028261,33622435,855183073,441247099,830869944,478964868,249375435,451986328,402551588,249428524,48163686,311767019,685661892,90721407,373256887,592780936,663603361
98,98,JNKJJ,OPVOW,U,S,S,434729755,2100614156,0,280220557,832694393,827126718,819300084,632621768,512458548,92747595,340286808,910985774,317027674,6349291,784024286,345852736,51367432,564100377,27054497,491284432,415952297,675401599,58566876,545255047
99,99,VHENP,YMNGA,P,P,P,321862558,2692782726,0,183308098,124561179,735412728,946060036,747824172,530263753,542035517,675770781,421386347,91383004,415928267,525870122,530555734,785892142,77397605,180178804,431584483,565451288,20290194,690338347,478822051
100,100,HRSPI,WBYJB,P,S,P,15176235,2116163897,0,371261552,649549672,20959825,84081767,139236614,795475821,59442592,956718638,233344679,252918443,971598567,385530475,855531844,614847651,4213104,369745911,417390278,541034808,423404739,751822592,4816261
101,101,YRJYY,RUNCR,P,U,P,76214054,2706812736,0,321296032,474136289,269330092,960147167,639586301,874755517,420904041,700992729,300361315,182041207,544316103,683476981,204177707,35391694,539305303,667631252,661678967,607665443,218840366,568045151,589587845
102,102,VFWQG,QHYWJ,P,P,P,64855259,2471737268,2,740057947,808206175,687518354,571026421,487035786,379899491,121846526,562155982,621518889,314852471,168870783,699736078,59332836,313606815,67313501,65773982,3614908,656580849,616041406,217363541,692258466
103,103,NVBKG,ADFGD,P,U,S,701848688,3888796454,1,492808775,280587839,796495019,952970158,393218,539049023,300523868,71217978,506011223,533270802,922151943,113705208,585101342,885119762,488930831,21541403,218636849,933128299,672479043,425128365,766951475
104,104,XBSVX,QVMED,S,P,P,744484837,4237994641,0,854349489,218509208,448527777,702927375,76827092,588040527,944444768,64060744,856645922,642358641,911652176,607406311,784927611,167875003,712710907,74697569,499033539,261561786,295351563,755414331,412646712
105,105,IRWVS,LDKRN,S,P,U,742255496,469008738,0,620047729,413928076,224641689,32842941,84337674,152533429,457992017,575199862,898242173,953559684,195456375,771060943,40006209,655935679,7941903,114414554,791529011,556663366,707702232,941259003,892408294
106,106,PYOPC,BCAYM,P,S,P,221632543,7938723702,0,459207755,911010892,396900369,257551809,567384157,209918043,940671737,727015311,451363892,605547492,193760105,82482056,571636263,246544078,278353766,477092423,629244693,111010096,379671547,731704203,553038512
107,107,DIBJI,NTTSD,S,P,P,752810453,1567196762,3,646189815,663939034,716656465,137488327,448201581,939963948,137519853,789489698,657887637,524409718,860213106,403417523,728881333,312918375,76436714,262050304,957739997,15777538,173721575,582101303,560859474
108,108,MTPRP,YCVUV,S,S,S,966545523,3776845874,0,673693504,560971921,143388137,986473506,459832675,362721508,161791661,29703258,258916443,334440102,724356898,3911869,793359169,28775482,703494236,751250747,102883005,613661611,10502903,1645428,528391423
109,109,MDSHG,OXTKY,P,P,S,902308004,7005224718,0,266241561,592934887,868687814,883683831,864799863,608048659,826361778,369071367,96918955,64585927,12621488,620312467,599718,315125825,644835813,449409702,596027576,766220658,57358046,120242208,576076883
110,110,JTLVH,QEPQF,P,P,P,595672767,2961233198,0,657765526,110865611,992049895,281767133,389842276,238839915,661233047,155627595,373873628,866956326,364419325,976219716,253500246,883524327,62854701,410553059,933309154,131361544,257390132,77050876,739535388
111,111,OREOW,EQXHC,S,S,P,477766343,4115369525,0,835906728,609944532,615510836,777066116,63638611,709499543,271127065,827730401,410065147,802556588,240070452,946298236,845204555,797611684,117477312,429405895,664798381,966634713,633854267,225607014,515785683
112,112,NJKUD,EUYFD,S,S,S,634242355,1346634457,0,771246861,266741875,948767899,353195331,27410698,583139078,690767628,971037404,798923955,804735295,571088619,707213878,786990493,88312148,101466923,211721392,646917864,920611898,742556454,24396743,504803729
113,113,EFSCQ,AVBVU,S,U,S,953118731,2199318287,0,159033914,40571749,453753172,404761902,751551171,833701506,118902102,968052953,598817574,513817154,346747045,957291001,235749546,110934937,828115747,386855979,858808475,472339135,441791089,272043745,753085172
114,114,WKQIW,FOEWE,P,P,P,13634287,3523737052,0,305609373,454895098,367017923,24351305,240333122,571336965,960535755,963669775,436668551,697652177,265839282,32515927,976226833,255304917,606948182,694044803,823663797,578111245,60864012,400614718,634782246
115,115,MJGEB,FICEA,S,S,U,246485214,1757549955,0,312311228,455413767,322168853,261039862,491606136,63578524,659902997,20524852,420320873,710129627,146325074,638372914,8029473,982320435,631259434,679655975,402362775,4481351,632074572,6676618,873650808
116,116,TKMQV,KGBBR,P,S,S,160053842,1800820999,3,93499806,52824161,194098942,335362101,403086961,60564015,353781776,367205049,249027082,964853964,237616581,650468807,736289302,122906254,82121663,696113765,477004048,1030916,576619974,638097393,584701581
117,117,CWIKQ,NMLKB,P,S,S,910963845,2669629584,1,551905097,735923903,269438627,856597559,96498376,598705015,376447634,104277172,78951351,174170579,5774974,880700967,544016717,289745666,655672401,66363664,7528718,43648817,117022431,697727751,460343653
